Cliente_Perdido,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Meses_Cliente_Activo,Servicio_Telefonico,Lineas_Multiples,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivos,Soporte_Tecnico,TV_Streaming,Peliculas_Streaming,Tipo_Contrato,Factura_Digital,Metodo_Pago,Factura_Mensual,Factura_Diaria
0,F,0,1,1,9,1,0,DSL,0,1,0,1,1,0,Anual,1,Cheque,65.6,2.1867
0,M,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Mensual,0,Cheque,59.9,1.9967
1,M,0,0,0,4,1,0,Fibra óptica,0,0,1,0,0,0,Mensual,1,E-cheque,73.9,2.4633
1,M,1,1,0,13,1,0,Fibra óptica,0,1,1,0,1,1,Mensual,1,E-cheque,98.0,3.2667
1,F,1,1,0,3,1,0,Fibra óptica,0,0,0,1,1,0,Mensual,1,Cheque,83.9,2.7967
0,F,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Mensual,1,Tarjeta de crédito,69.4,2.3133
0,F,1,1,0,71,1,0,Fibra óptica,1,1,1,1,1,1,Bi-anual,1,Débito automático,109.7,3.6567
0,M,0,1,0,63,1,1,Fibra óptica,1,0,0,1,0,0,Bi-anual,1,Tarjeta de crédito,84.65,2.8217
0,F,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Mensual,1,E-cheque,48.2,1.6067
0,F,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Bi-anual,1,Cheque,90.45,3.015
0,M,0,0,0,54,0,Sin telefonía,DSL,1,0,0,1,1,0,Bi-anual,0,Tarjeta de crédito,45.2,1.5067
0,F,0,1,1,72,1,1,Fibra óptica,1,1,1,1,1,1,Bi-anual,1,Tarjeta de crédito,116.8,3.8933
0,F,0,1,0,5,1,0,Fibra óptica,0,0,0,0,0,0,Mensual,1,E-cheque,68.95,2.2983
0,F,0,0,0,72,1,1,Fibra óptica,1,1,1,0,1,0,Bi-anual,1,Débito automático,101.3,3.3767
0,F,0,0,0,56,0,Sin telefonía,DSL,1,1,1,1,0,0,Bi-anual,0,Débito automático,45.05,1.5017
0,F,0,1,1,71,1,1,Fibra óptica,0,1,1,0,0,1,Bi-anual,1,Tarjeta de crédito,95.75,3.1917
0,F,0,1,1,34,0,Sin telefonía,DSL,1,0,1,1,1,1,Anual,0,Cheque,61.25,2.0417
0,F,1,0,0,1,1,1,Fibra óptica,0,0,0,0,0,0,Mensual,1,E-cheque,72.1,2.4033
1,M,1,0,0,45,1,0,DSL,1,0,1,0,0,1,Anual,0,Tarjeta de crédito,62.7,2.09
1,M,1,0,0,1,0,Sin telefonía,DSL,0,0,0,0,0,0,Mensual,1,E-cheque,25.1,0.8367
0,F,1,1,0,50,1,1,0,0,0,0,0,0,0,Anual,0,E-cheque,25.2,0.84
1,F,0,1,0,13,1,1,Fibra óptica,0,1,1,0,1,0,Mensual,0,E-cheque,94.1,3.1367
0,F,0,1,1,23,1,1,Fibra óptica,0,0,0,0,1,0,Mensual,1,E-cheque,83.75,2.7917
0,F,0,0,0,3,1,0,0,0,0,0,0,0,0,Mensual,0,Cheque,19.85,0.6617
1,F,0,1,1,4,1,0,0,0,0,0,0,0,0,Mensual,0,Cheque,20.35,0.6783
